PartNumber	URL
APTH006A0X-SRZ	https://www.mouser.com/ProductDetail/OmniOn-Power/APTH006A0X-SRZ?qs=2qJoYEQoFjwKgXawruYvCA%3D%3D
S-1111B15MC-NYATFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B15MC-NYATFG?qs=rspc%2FKHmV1Q4g05odaluag%3D%3D
S-1111B18MC-NYDTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B18MC-NYDTFG?qs=Ysts4gZ61%252Bx8QOTIYMmt%252BQ%3D%3D
S-1111B25MC-NYKTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B25MC-NYKTFG?qs=crciVTC1MmF3rxESNJBldg%3D%3D
S-1111B26MC-NYLTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B26MC-NYLTFG?qs=DcPCzf2hcK%2FVVYoEM2Xzcw%3D%3D
S-1111B27MC-NYMTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B27MC-NYMTFG?qs=Y2SaehPT6pCV4fJxTByOMQ%3D%3D
S-1111B28MC-NYNTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B28MC-NYNTFG?qs=og1MFig0jPiOkMfIStGj8A%3D%3D
S-1111B29MC-NYOTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B29MC-NYOTFG?qs=g5x1mxMWGRvX1vC0FgUSig%3D%3D
S-1111B30MC-NYPTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B30MC-NYPTFG?qs=EUs%252BtiuTL09a7I0CWKaopQ%3D%3D
S-1111B31MC-NYQTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B31MC-NYQTFG?qs=8mDnDFH%2F96h2Jw2S%2FAVyNg%3D%3D
S-1111B33MC-NYSTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B33MC-NYSTFG?qs=a%2FCaw%252BznZa%252Bg6gaKkKEEIw%3D%3D
S-1111B50MC-NZJTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1111B50MC-NZJTFG?qs=NygO1JTad8VFiz6qvhXMdA%3D%3D
S-1112B15MC-L6ATFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B15MC-L6ATFG?qs=5C%252B0%2FeH9C1tacIqE9qdPQg%3D%3D
S-1112B16MC-L6BTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B16MC-L6BTFG?qs=im14jibcDpqF0Aj7l9mFlw%3D%3D
S-1112B18MC-L6DTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B18MC-L6DTFG?qs=9p6Jm05S21rEKVCeVDCHow%3D%3D
S-1112B19MC-L6ETFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B19MC-L6ETFG?qs=im14jibcDppOHGO3VxuHJQ%3D%3D
S-1112B20MC-L6FTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B20MC-L6FTFG?qs=im14jibcDprSRJ2dURC5Aw%3D%3D
S-1112B22MC-L6HTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B22MC-L6HTFG?qs=im14jibcDppgJznei7x2Fg%3D%3D
S-1112B23MC-L6ITFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B23MC-L6ITFG?qs=im14jibcDprqiUzljfH1sQ%3D%3D
S-1112B25MC-L6KTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B25MC-L6KTFG?qs=KgNrcv8ZCHN3XG62sC2pOw%3D%3D
S-1112B26MC-L6LTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B26MC-L6LTFG?qs=ZE%252B93O9ufP7zz%252BWXZI8UQg%3D%3D
S-1112B27MC-L6MTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B27MC-L6MTFG?qs=lrjSxqY9ml7q82gHa8Nxxw%3D%3D
S-1112B28MC-L6NTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B28MC-L6NTFG?qs=8g15oU%252BBBJ8Lk%2FMJEHuQPA%3D%3D
S-1112B29MC-L6OTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B29MC-L6OTFG?qs=NdVr8vFq8jiZ%2Fi3jSGvU4Q%3D%3D
S-1112B2JMC-L7PTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B2JMC-L7PTFG?qs=im14jibcDpqxgQYkfKnt6w%3D%3D
S-1112B30MC-L6PTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B30MC-L6PTFG?qs=Lf4qTMAhcB0CbYOYKnu8JA%3D%3D
S-1112B31MC-L6QTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B31MC-L6QTFG?qs=%252BtSysSyYjYhewRYbZ288yg%3D%3D
S-1112B32MC-L6RTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B32MC-L6RTFG?qs=im14jibcDprElZ3Shr7V8A%3D%3D
S-1112B33MC-L6STFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B33MC-L6STFG?qs=BnzAdGEH%252BAfFoO6Kq4fgFg%3D%3D
S-1112B35MC-L6UTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B35MC-L6UTFG?qs=im14jibcDppktOtCYbOmSw%3D%3D
S-1112B36MC-L6VTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B36MC-L6VTFG?qs=im14jibcDppYLbQc8s3gXA%3D%3D
S-1112B37MC-L6WTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B37MC-L6WTFG?qs=im14jibcDpq%2FGDARJHiNkw%3D%3D
S-1112B38MC-L6XTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B38MC-L6XTFG?qs=im14jibcDpo0Rk2rGszAnQ%3D%3D
S-1112B39MC-L6YTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B39MC-L6YTFG?qs=im14jibcDprdxmz%2FgWY83Q%3D%3D
S-1112B40MC-L6ZTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B40MC-L6ZTFG?qs=im14jibcDprDE44mDluS1g%3D%3D
S-1112B42MC-L7BTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B42MC-L7BTFG?qs=im14jibcDpqBSGhpR89QjA%3D%3D
S-1112B43MC-L7CTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B43MC-L7CTFG?qs=im14jibcDpqJgu8Z4nUacA%3D%3D
S-1112B44MC-L7DTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B44MC-L7DTFG?qs=im14jibcDpoAIsV5AVUP1Q%3D%3D
S-1112B45MC-L7ETFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B45MC-L7ETFG?qs=im14jibcDppU%2Fcsou3UNRQ%3D%3D
S-1112B46MC-L7FTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B46MC-L7FTFG?qs=im14jibcDpqWedbC%252BTNrug%3D%3D
S-1112B47MC-L7GTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B47MC-L7GTFG?qs=im14jibcDpraQoBa35r0sA%3D%3D
S-1112B48MC-L7HTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1112B48MC-L7HTFG?qs=im14jibcDpoG2sHDutzJnA%3D%3D
S-1121B15MC-N2ATFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B15MC-N2ATFG?qs=8JZR6CpWupY0hXE%2Fxu6qfg%3D%3D
S-1121B18MC-N2DTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B18MC-N2DTFG?qs=jgMlFKcDzz1LZbG1qqzeAA%3D%3D
S-1121B25MC-N2KTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B25MC-N2KTFG?qs=RtV0oBOYcvr1SnxXbmQ6Iw%3D%3D
S-1121B26MC-N2LTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B26MC-N2LTFG?qs=6L0gEFO9nL%252Bx3ADQdXrWoA%3D%3D
S-1121B27MC-N2MTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B27MC-N2MTFG?qs=GXozFRvn6Rmg77dIchtDDw%3D%3D
S-1121B28MC-N2NTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B28MC-N2NTFG?qs=apXl1tFTxdBuhB%2FmfbJ5XA%3D%3D
S-1121B29MC-N2OTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B29MC-N2OTFG?qs=71GyRrgsaWNAu%2FQwD2y7fw%3D%3D
S-1121B30MC-N2PTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B30MC-N2PTFG?qs=iNompNbAKUasnA7yOFFYGQ%3D%3D
S-1121B31MC-N2QTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B31MC-N2QTFG?qs=GieUpBWCv1SaZm3eSlZ9%252BQ%3D%3D
S-1121B33MC-N2STFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B33MC-N2STFG?qs=l1qUpjNtf5Tl%252BN%2F79u05ow%3D%3D
S-1121B50MC-N3JTFG	https://www.mouser.com/ProductDetail/ABLIC/S-1121B50MC-N3JTFG?qs=eeduHtTwlFuRti3VhVi1Vw%3D%3D
